Start Year,Disaster Type,Country,Latitude,Longitude,Total Deaths,Total Affected,Total Damage ('000 US$)
1900,Earthquake,Türkiye,40.3,43.1,140.0,,
1901,Earthquake,Japan,40.5,142.5,18.0,24.0,
1902,Earthquake,Soviet Union,40.8,72.3,4562.0,125112.0,
1902,Earthquake,Guatemala,14.0,-91.0,2000.0,,25000.0
1902,Earthquake,Soviet Union,40.7,48.6,86.0,17540.0,
1902,Earthquake,China,39.88,76.2,2500.0,,
1903,Earthquake,Türkiye,39.09,42.3,3560.0,60000.0,
1903,Earthquake,Türkiye,39.1,42.4,1700.0,,
1903,Earthquake,Israel,32.2,35.3,20.0,,
1903,Earthquake,Türkiye,40.9,42.7,1000.0,,
1903,Earthquake,Iran (Islamic Republic of),35.2,58.2,350.0,,
1904,Earthquake,Taiwan (Province of China),23.5,120.5,3.0,208.0,
1904,Earthquake,Greece,37.75,27.0,4.0,1620.0,
1904,Earthquake,Taiwan (Province of China),23.5,120.3,145.0,2141.0,
1905,Earthquake,Italy,38.67,16.07,557.0,22100.0,
1905,Earthquake,India,32.04,76.16,20000.0,,25000.0
1905,Earthquake,Japan,37.4,142.6,41.0,,
1905,Earthquake,Albania,42.1,19.6,120.0,,23800.0
1905,Earthquake,Japan,34.0,132.0,11.0,177.0,
1905,Earthquake,China,29.3,104.8,,,
1906,Earthquake,Taiwan (Province of China),23.6,170.5,1258.0,20452.0,
1906,Earthquake,Colombia,1.51,78.46,400.0,,
1906,Volcanic activity,Italy,40.821,14.426,700.0,,
1906,Earthquake,United States of America,37.67,-122.48,700.0,84564.0,524000.0
1906,Earthquake,Chile,33.05,71.4,20000.0,,100000.0
1906,Earthquake,Taiwan (Province of China),23.4,120.4,15.0,5466.0,
1906,Earthquake,China,43.5,85.5,280.0,10000.0,
1907,Earthquake,Jamaica,18.2,-76.8,1200.0,90000.0,30000.0
1907,Earthquake,China,38.5,69.9,12000.0,,
1908,Earthquake,Italy,38.17,15.58,75000.0,150000.0,116000.0
1909,Earthquake,Iran (Islamic Republic of),33.55,48.48,5000.0,,
1909,Earthquake,France,44.05,6.14,46.0,,
1909,Earthquake,Morocco,35.34,-5.22,100.0,,
1909,Earthquake,Taiwan (Province of China),25.0,121.5,9.0,417.0,
1909,Earthquake,Portugal,38.9,-8.8,30.0,,
1909,Earthquake,China,24.4,103.0,21.0,,
1909,Earthquake,Japan,35.4,136.3,41.0,2928.0,
1909,Earthquake,Pakistan,30.0,68.0,231.0,,
1910,Earthquake,Costa Rica,9.8,-84.0,1750.0,,
1910,Earthquake,Algeria,36.0,4.0,12.0,,
1910,Earthquake,Taiwan (Province of China),25.5,122.5,60.0,,
1910,Earthquake,Costa Rica,10.0,-84.0,700.0,,
1911,Earthquake,Kazakhstan,43.5,77.5,450.0,,
1911,Earthquake,Soviet Union,38.2,72.8,90.0,,
1911,Earthquake,Iran (Islamic Republic of),32.23,57.03,700.0,,
1911,Earthquake,Mexico,17.5,-102.5,45.0,22.0,
1911,Earthquake,Japan,28.0,130.0,12.0,1266.0,
1912,Earthquake,Türkiye,40.41,27.15,923.0,18195.0,
1913,Earthquake,Romania,43.5,25.5,,,
1913,Earthquake,Peru,-14.2,-72.9,150.0,,
1913,Earthquake,Indonesia,5.354,126.121,138.0,,
1913,Earthquake,China,24.15,102.45,942.0,112.0,
1914,Earthquake,Indonesia,-3.924,101.82,20.0,20.0,
1914,Earthquake,Japan,39.2,139.8,94.0,1920.0,
1914,Earthquake,Italy,37.7,15.2,120.0,669.0,
1914,Earthquake,Türkiye,37.82,30.27,4000.0,51700.0,
1914,Earthquake,Greece,38.8,20.6,14.0,,
1914,Earthquake,Peru,-15.2,-73.2,34.0,,
1915,Earthquake,Italy,42.02,13.26,29980.0,,60000.0
1915,Earthquake,United States of America,32.47,-115.33,6.0,,1000.0
1915,Earthquake,China,29.5,91.5,170.0,,
1916,Earthquake,Taiwan (Province of China),23.7,120.9,180.0,1842.0,
1916,Earthquake,Taiwan (Province of China),24.0,121.0,1.0,311.0,
1917,Earthquake,Indonesia,-7.0,116.0,15000.0,,
1917,Earthquake,Guatemala,14.38,-90.22,2650.0,,
1917,Earthquake,China,28.0,104.0,1800.0,,
1917,Earthquake,Taiwan (Province of China),23.9,120.9,54.0,475.0,
1918,Earthquake,Puerto Rico,18.06,-67.54,116.0,,29000.0
1918,Earthquake,Philippines,8.29,124.4,100.0,,
1918,Earthquake,China,23.5,117.0,10000.0,,
1920,Earthquake,China,36.888,105.606,180000.0,,25000.0
1920,Earthquake,Italy,44.3,10.3,1400.0,,
1920,Earthquake,Mexico,19.26,-96.97,648.0,167.0,
1920,Earthquake,Albania,40.2,20.0,200.0,,
1920,Earthquake,Argentina,-32.7,-68.4,400.0,,
1922,Earthquake,Chile,-28.553,-70.755,1000.0,,
1922,Earthquake,Taiwan (Province of China),24.5,122.0,5.0,417.0,
1922,Earthquake,Japan,32.7,130.3,27.0,,
1923,Earthquake,Japan,35.413,139.298,143000.0,203733.0,600000.0
1923,Earthquake,China,31.295,100.75,5000.0,,
1923,Earthquake,Iran (Islamic Republic of),35.2,59.2,2200.0,,
1923,Earthquake,Iran (Islamic Republic of),36.617,57.046,157.0,,
1923,Earthquake,Iran (Islamic Republic of),29.196,56.833,290.0,,
1923,Earthquake,Colombia,1.0,-77.5,300.0,,
1924,Earthquake,Ecuador,-1.29,-78.52,40.0,,
1924,Earthquake,Indonesia,-7.21,109.56,727.0,11250.0,
1924,Earthquake,Türkiye,39.7,42.8,50.0,,
1924,Earthquake,China,36.983,164.0,100.0,,
1924,Earthquake,Türkiye,39.897,41.891,60.0,1140.0,
1924,Earthquake,Indonesia,-7.3,109.8,60.0,,
1925,Earthquake,China,25.713,100.422,5000.0,,
1925,Earthquake,United States of America,34.25,-119.41,13.0,,8000.0
1925,Earthquake,Türkiye,41.2,42.8,200.0,,
1925,Earthquake,Philippines,9.782,123.064,17.0,,
1925,Earthquake,Japan,35.423,135.007,395.0,9999.0,
1925,Earthquake,Türkiye,38.0,30.5,3.0,6129.0,
1925,Earthquake,China,27.0,100.0,12.0,1500.0,
1925,Earthquake,Iran (Islamic Republic of),34.6,58.1,500.0,,
1926,Earthquake,Egypt,30.03,31.15,12.0,,
1927,Earthquake,Japan,35.632,135.013,3022.0,79540.0,40000.0
1927,Earthquake,China,37.645,102.489,40912.0,133894.0,
1927,Earthquake,Jordan,31.922,35.633,268.0,,
1927,Earthquake,Indonesia,-0.842,120.764,50.0,50.0,
1928,Earthquake,Greece,38.0,23.44,103.0,,
1928,Earthquake,Chile,-35.28,-71.4,220.0,,
1928,Earthquake,Türkiye,38.25,27.1,50.0,209.0,
1928,Earthquake,Indonesia,-8.3,121.7,128.0,,
1928,Earthquake,Canada,48.6,-58.0,27.0,,
1929,Earthquake,Iran (Islamic Republic of),37.8,57.8,3253.0,1121.0,
1930,Earthquake,Myanmar,17.86,96.43,500.0,,
1930,Earthquake,Italy,40.922,15.377,1883.0,10000.0,5000.0
1930,Earthquake,Japan,35.05,139.129,259.0,26122.0,
1930,Earthquake,Myanmar,18.233,96.298,36.0,,
1930,Earthquake,Iran (Islamic Republic of),38.087,44.781,1360.0,,
1930,Earthquake,Nicaragua,12.1,-86.2,1000.0,,15000.0
1930,Earthquake,China,26.8,103.0,42.0,,
1930,Earthquake,Myanmar,17.4,95.5,50.0,,
1930,Earthquake,China,30.0,100.0,200.0,,
1930,Earthquake,Soviet Union,38.4,68.5,151.0,208.0,
1930,Earthquake,Italy,43.667,13.267,18.0,,
1930,Earthquake,Albania,40.5,19.5,35.0,3048.0,
1930,Earthquake,Albania,40.3,19.6,25.0,,
1930,Earthquake,Taiwan (Province of China),23.261,120.277,4.0,891.0,
1930,Earthquake,Taiwan (Province of China),23.2,120.6,,363.0,
1931,Earthquake,Nicaragua,13.2,-85.7,1000.0,,15000.0
1931,Earthquake,Albania,40.6,20.8,90.0,,
1931,Earthquake,Armenia,39.2,46.0,2890.0,,
1931,Earthquake,China,46.817,89.915,10000.0,,
1932,Earthquake,Indonesia,0.5,126.0,6.0,3075.0,
1932,Earthquake,Iran (Islamic Republic of),36.6,53.4,1070.0,,
1932,Earthquake,Mexico,19.5,-104.25,400.0,120.0,
1932,Earthquake,Mexico,19.0,-104.5,,2000.0,
1932,Earthquake,Indonesia,-3.57,128.35,,365.0,
1932,Earthquake,Greece,40.5,23.9,151.0,22641.0,
1933,Earthquake,Japan,39.224,144.622,3000.0,,
1933,Earthquake,United States of America,33.62,117.97,116.0,,38500.0
1933,Earthquake,China,31.9,103.4,10000.0,,
1933,Earthquake,China,29.5,102.5,200.0,150.0,
1933,Earthquake,Italy,42.0,14.2,10.0,,
1934,Earthquake,Türkiye,37.919,40.211,100.0,,
1934,Earthquake,Türkiye,37.919,40.211,20.0,,
1935,Earthquake,Taiwan (Province of China),24.3,124.3,3276.0,101588.0,
1935,Earthquake,Pakistan,29.5,66.8,60000.0,25000.0,
1935,Earthquake,Taiwan (Province of China),24.6,120.8,2746.0,156004.0,
1935,Earthquake,Iran (Islamic Republic of),36.3,53.3,60.0,,
1935,Earthquake,Iran (Islamic Republic of),36.3,53.5,690.0,,
1935,Earthquake,Türkiye,39.3,40.6,540.0,,
1935,Earthquake,China,28.7,103.6,100.0,,
1936,Earthquake,Indonesia,3.5,97.5,17.0,,
1936,Earthquake,Indonesia,6.1,94.7,9.0,20.0,
1936,Earthquake,Colombia,1.1,-77.6,,,
1936,Earthquake,China,35.4,103.4,,48250.0,
1936,Earthquake,Indonesia,4.5,126.5,,845.0,
1936,Earthquake,Iran (Islamic Republic of),33.0,60.0,12.0,,
1936,Earthquake,China,34.2,105.7,115.0,22326.0,
1936,Earthquake,Colombia,1.2,-77.3,18.0,,
1936,Earthquake,China,26.6,103.0,30.0,,
1936,Earthquake,Taiwan (Province of China),22.3,120.8,10.0,75.0,
1936,Earthquake,El Salvador,13.2,-88.7,400.0,,
1937,Earthquake,Mexico,18.8,-97.5,34.0,,
